DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;10555.470873336748;11323.678224896006;10202.809957537089;9532.113;10555.470873336748
2023-12-31;9586.757021039355;11139.572523645478;9670.726467407128;9844.161;9600.824433908178
2024-01-31;6083.630530066183;9000.766841064344;5733.996107739599;5103.6216;5974.0457674128975
2024-02-29;6281.920996073609;8937.556427292937;6004.683830215621;5964.941;6208.460915856276
2024-03-31;8177.998683124949;9648.842694056631;10126.912476802703;9292.729;8662.886925395425
2024-04-30;8799.896084369653;10099.343072556438;9898.478631567737;9448.825;9252.603642360864
2024-05-31;6723.831139785472;9886.064724136699;7420.816079199718;8577.154;7640.299384139414
2024-06-30;4624.507493835923;7695.44596292081;5598.299607782501;5260.747;5088.934532844676
2024-07-31;4384.179245332902;7188.913387619337;4603.992536886116;4572.9727;4518.883160669244
2024-08-31;8095.451012417254;9229.076904997712;7259.591001443755;6944.3096;7358.521780674987
2024-09-30;9307.049262301656;9785.281581973222;7998.2098007601835;7639.644;8080.588365329814
2024-10-31;8609.618213168089;10537.153822650935;9722.958460110325;9380.577;9618.953925375137
