DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;22327.98420594905;24454.572905368233;17217.584113949422;14053.756;22327.98420594905
2023-12-31;22373.065594396776;24694.02506125891;20132.70777883765;15938.519;22251.587202825158
2024-01-31;11046.699521256727;17811.318211792914;17698.035015497902;12560.575;11932.18006214199
2024-02-29;17888.898504304838;20831.28702331156;14325.216703450013;16527.248;17667.40106098984
2024-03-31;19483.729300730578;22025.49164699018;18248.873387489908;15120.91;19215.90010108866
2024-04-30;22327.46251823115;24199.00019763317;24758.613514473887;26605.977;23493.98086659663
2024-05-31;18528.290164289632;24624.038222861436;15737.58322691892;16685.87;17523.406185992775
2024-06-30;10751.996508740347;17422.29878998144;14973.958527005654;12009.611;12831.820874079202
2024-07-31;12106.73493687473;19016.166487182258;12677.305934276452;12106.984;12271.8094592895
2024-08-31;20019.246628235207;20391.841677939567;17522.382853181392;17955.816;19012.28261261443
2024-09-30;19918.902214843692;21675.364116112803;19016.265676832514;16939.627;19429.46774125267
2024-10-31;20885.905786899482;25462.55094299089;19095.514883566353;21712.334;21378.829189780223
